1,1,11,13
1,1,12,12
1,2,6,12
1,2,7,10
1,2,8,8
1,2,6,9
1,2,4,10
1,2,2,11
1,1,2,12
1,2,2,12
2,2,2,12
2,2,3,12
2,3,3,12
2,3,4,12
2,4,4,12
2,4,5,12
2,5,5,12
2,5,6,12
2,6,6,12
2,6,7,12
2,7,7,12
2,7,8,12
2,8,8,12
2,8,9,12
2,9,9,12
2,9,10,12
2,10,10,12
2,10,11,12
2,11,11,12
2,11,12,12
2,12,12,12
2,12,12,13
2,12,13,13
1,2,2,13
1,3,4,12
1,3,5,9
1,3,6,6
1,3,3,7
1,1,3,8
1,2,3,8
2,2,3,8
2,3,3,8
3,3,3,8
3,3,4,8
3,4,4,8
3,4,5,8
3,5,5,8
3,5,6,8
3,6,6,8
3,6,7,8
3,7,7,8
3,7,8,8
3,8,8,8
3,8,8,9
3,8,9,9
3,8,9,10
3,8,10,10
3,8,10,11
3,8,11,11
3,8,11,12
3,8,12,12
3,8,12,13
3,8,13,13
1,3,3,9
1,3,6,10
1,3,9,11
1,3,12,12
2,3,12,12
2,3,9,13
1,4,4,8
1,4,4,5
1,1,4,6
1,2,4,6
2,2,4,6
2,3,4,6
3,3,4,6
3,4,4,6
4,4,4,6
4,4,5,6
4,5,5,6
4,5,6,6
4,6,6,6
4,6,6,7
4,6,7,7
4,6,7,8
4,6,8,8
4,6,8,9
4,6,9,9
4,6,9,10
4,6,10,10
4,6,10,11
4,6,11,11
4,6,11,12
4,6,12,12
4,6,12,13
4,6,13,13
1,4,4,7
1,4,8,8
1,4,9,12
2,4,9,12
2,4,8,10
2,4,4,11
1,1,4,12
1,2,4,12
3,4,5,12
3,4,6,12
4,4,6,12
4,5,7,12
4,4,8,12
4,6,8,12
4,7,9,12
4,5,10,12
4,8,10,12
4,9,11,12
4,10,12,12
4,11,12,13
2,4,4,13
1,1,5,5
1,5,6,6
1,5,7,11
2,5,7,13
2,5,8,8
2,3,5,9
2,2,5,10
2,5,7,11
2,5,12,12
3,5,12,12
3,5,7,13
1,6,6,12
2,6,6,7
1,1,6,8
1,2,6,8
1,3,6,8
2,4,6,8
4,6,6,8
5,6,7,8
6,6,8,8
6,7,8,9
5,6,8,10
6,8,8,10
6,8,9,11
6,6,8,12
6,8,10,12
6,8,11,13
2,6,6,9
2,6,10,12
3,6,10,12
3,6,6,11
1,3,6,12
1,4,6,12
3,6,6,12
4,6,7,12
5,6,8,12
3,6,9,12
6,6,9,12
6,7,10,12
6,8,11,12
6,9,12,12
6,10,12,13
3,6,6,13
1,2,7,7
2,7,8,8
3,7,9,9
2,3,7,10
3,5,7,11
3,7,12,12
4,7,12,12
4,5,7,13
1,2,8,9
1,3,8,9
1,4,8,9
2,5,8,9
2,6,8,9
3,6,8,9
4,7,8,9
5,8,8,9
6,8,9,9
7,8,9,10
8,8,9,11
4,8,9,12
8,9,9,12
8,9,10,13
3,8,8,10
4,8,8,11
1,3,8,12
1,4,8,12
2,2,8,12
1,5,8,12
2,6,8,12
3,7,8,12
4,8,8,12
5,8,9,12
7,8,11,12
8,8,12,12
8,9,12,13
4,8,8,13
3,9,9,9
3,4,9,11
4,9,12,12
5,9,12,12
3,5,9,13
4,4,10,10
5,10,10,11
1,4,10,12
1,5,10,12
2,3,10,12
1,6,10,12
2,7,10,12
3,8,10,12
4,9,10,12
5,10,10,12
6,10,11,12
7,10,12,12
8,10,12,13
5,10,10,13
1,5,11,11
5,11,12,12
6,11,12,12
1,6,11,13
1,5,12,12
1,6,12,12
2,4,12,12
3,3,12,12
1,7,12,12
2,8,12,12
3,9,12,12
6,12,12,12
7,12,12,13
6,12,12,13
1,7,13,13
