1,1,9,13
1,1,10,12
1,1,11,11
1,1,11,13
1,1,12,12
1,2,8,13
1,2,9,12
1,2,10,11
1,3,7,13
1,3,8,12
1,3,9,11
1,3,10,10
1,4,6,13
1,4,7,12
1,4,8,11
1,4,9,10
1,5,5,13
1,5,6,12
1,5,7,11
1,5,8,10
1,5,9,9
1,6,6,11
1,6,7,10
1,6,8,9
1,7,7,9
1,7,8,8
1,2,12,13
1,3,13,13
1,2,10,13
1,2,11,12
2,2,7,13
2,2,8,12
2,2,9,11
2,2,10,10
2,2,11,13
2,2,12,12
2,3,6,13
2,3,7,12
2,3,8,11
2,3,9,10
2,4,5,13
2,4,6,12
2,4,7,11
2,4,8,10
2,4,9,9
2,5,5,12
2,5,6,11
2,5,7,10
2,5,8,9
2,6,6,10
2,6,7,9
2,6,8,8
2,7,7,8
2,3,12,13
2,4,13,13
1,3,9,13
1,3,10,12
1,3,11,11
2,3,10,13
2,3,11,12
3,3,5,13
3,3,6,12
3,3,7,11
3,3,8,10
3,3,9,9
3,3,11,13
3,3,12,12
3,4,4,13
3,4,5,12
3,4,6,11
3,4,7,10
3,4,8,9
3,5,5,11
3,5,6,10
3,5,7,9
3,5,8,8
3,6,6,9
3,6,7,8
3,7,7,7
3,4,12,13
3,5,13,13
1,4,8,13
1,4,9,12
1,4,10,11
2,4,9,13
2,4,10,12
2,4,11,11
3,4,10,13
3,4,11,12
4,4,4,12
4,4,5,11
4,4,6,10
4,4,7,9
4,4,8,8
4,4,11,13
4,4,12,12
4,5,5,10
4,5,6,9
4,5,7,8
4,6,6,8
4,6,7,7
4,5,12,13
4,6,13,13
1,5,7,13
1,5,8,12
1,5,9,11
1,5,10,10
2,5,8,13
2,5,9,12
2,5,10,11
3,5,9,13
3,5,10,12
3,5,11,11
4,5,10,13
4,5,11,12
5,5,5,9
5,5,6,8
5,5,7,7
5,5,11,13
5,5,12,12
5,6,6,7
5,6,12,13
5,7,13,13
1,6,6,13
1,6,7,12
1,6,8,11
1,6,9,10
2,6,7,13
2,6,8,12
2,6,9,11
2,6,10,10
3,6,8,13
3,6,9,12
3,6,10,11
4,6,9,13
4,6,10,12
4,6,11,11
5,6,10,13
5,6,11,12
6,6,6,6
6,6,11,13
6,6,12,12
6,7,12,13
6,8,13,13
1,7,7,11
1,7,8,10
1,7,9,9
2,7,7,12
2,7,8,11
2,7,9,10
3,7,7,13
3,7,8,12
3,7,9,11
3,7,10,10
4,7,8,13
4,7,9,12
4,7,10,11
5,7,9,13
5,7,10,12
5,7,11,11
6,7,10,13
6,7,11,12
7,7,11,13
7,7,12,12
7,8,12,13
7,9,13,13
1,8,8,9
2,8,8,10
2,8,9,9
3,8,8,11
3,8,9,10
4,8,8,12
4,8,9,11
4,8,10,10
5,8,8,13
5,8,9,12
5,8,10,11
6,8,9,13
6,8,10,12
6,8,11,11
7,8,10,13
7,8,11,12
8,8,11,13
8,8,12,12
8,9,12,13
8,10,13,13
3,9,9,9
4,9,9,10
5,9,9,11
5,9,10,10
6,9,9,12
6,9,10,11
7,9,9,13
7,9,10,12
7,9,11,11
8,9,10,13
8,9,11,12
9,9,11,13
9,9,12,12
9,10,12,13
9,11,13,13
6,10,10,10
7,10,10,11
8,10,10,12
8,10,11,11
9,10,10,13
9,10,11,12
10,10,11,13
10,10,12,12
10,11,12,13
10,12,13,13
9,11,11,11
10,11,11,12
11,11,11,13
11,11,12,12
11,12,12,13
11,13,13,13
12,12,12,12
12,12,13,13
